Start station number,Start station
31264,6th St & Indiana Ave NW
31265,5th St & Massachusetts Ave NW
31266,11th & M St NW
31267,17th St & Massachusetts Ave NW
31268,12th & U St NW
31269,3rd St & Pennsylvania Ave SE
31270,8th & D St NW
31271,Constitution Ave & 2nd St NW/DOL
31272,Washington & Independence Ave SW/HHS
31273,Hains Point/Buckeye & Ohio Dr SW
31274,10th & G St NW
31275,New Hampshire Ave & 24th St NW
31276,15th & L St NW
31277,17th & G St NW
31278,18th & R St NW
31279,19th & G St NW
31280,11th & S St NW
31281,8th & O St NW
31282,16th & R St NW
31283,14th & L St NW
31284,18th & C St NW
31285,22nd & P ST NW
31286,11th & O St NW
31287,10th St & L'Enfant Plaza SW
31288,4th St & Madison Dr NW
31289,Henry Bacon Dr & Lincoln Memorial Circle NW
31290,17th St & Independence Ave SW
31291,Vermont Ave & I St NW
31292,22nd St & Constitution Ave NW
31293,Thomas Jefferson St NW & Water/K St NW
31294,7th & E St SW
31295,Potomac & M St NW
31296,Columbia & Ontario Rd NW
31297,Virginia Ave & 25th St NW
31298,15th & M St NW
31299,Connecticut Ave & R St NW
31300,Van Ness Metro / UDC
31301,Ward Circle / American University
31302,Wisconsin Ave & Newark St NW
31303,Tenleytown / Wisconsin Ave & Albemarle St NW
31304,36th & Calvert St NW / Glover Park
31305,Connecticut Ave & Newark St NW / Cleveland Park
31306,39th & Calvert St NW / Stoddert
31307,3000 Connecticut Ave NW / National Zoo
31308,39th & Veazey St NW
31309,Fessenden St & Wisconsin Ave NW
31310,Connecticut & Nebraska Ave NW
31312,Wisconsin Ave & O St NW
31313,Connecticut Ave & Tilden St NW
31314,34th & Water St NW
31315,Connecticut Ave & McKinley St NW
31316,Yuma St & Tenley Circle NW
31317,Wisconsin Ave & Ingomar St NW
31318,Connecticut Ave & Yuma St NW
31319,Wisconsin Ave & Brandywine St NW
31320,American University East Campus
31321,15th St & Constitution Ave NW
31322,48th Pl & MacArthur Blvd NW
31323,Woodley Park Metro / Calvert St & Connecticut Ave NW
31324,18th & New Hampshire Ave NW
31325,Reservoir Rd & 38th St NW
31326,Hardy Rec Center
31327,14th & Q St NW
31328,21st St & G st NW
31329,White House
31330,17th & P St NW
31331,Arizona Ave & MacArthur Blvd NW
31332,11th & V st NW
31400,Georgia & New Hampshire Ave NW
31401,14th St & Spring Rd NW
31402,14th St Heights / 14th & Crittenden St NW
31403,5th & Kennedy St NW
31404,9th & Upshur St NW
31405,Georgia Ave & Emerson St NW
31406,14th & Upshur St NW
31407,14th St & Colorado Ave NW
31408,Takoma Metro
31411,Georgia & Missouri Ave NW
31412,3rd St & Riggs Rd NE
31413,3rd & Underwood St NW
31414,Georgia Ave & Piney Branch Rd NW
31415,Georgia Ave & Kennedy St NW
31416,14th & Luzon St NW
31417,Kansas Ave & Sherman Cr NW
31418,New Hampshire & Gallatin St NW
31419,Georgia Ave & Morton St NW
31420,17th & Upshur St NW
31421,Grant Circle
31422,Broad Branch Rd & Northampton St NW
31423,Kansas Ave & Longfellow St NW
31500,4th & W St NE
31501,12th & Newton St NE
31502,John McCormack Dr & Michigan Ave NE
31503,Florida Ave & R St NW
31504,10th & Monroe St NE
31505,Eckington Pl & Q St NE
31506,1st & Rhode Island Ave NW
31507,1st & Washington Hospital Center NW
31508,Gallaudet / 8th St & Florida Ave NE
31509,New Jersey Ave & R St NW
31510,18th St & Rhode Island Ave NE
31511,12th & Irving St NE
31512,Neal St & Trinidad Ave NE
31513,Rhode Island Ave & V St NE
31514,Hamlin & 7th St NE
31515,Fort Totten Metro
31516,Rhode Island Ave Metro
31517,Union Market
31518,New York Ave & Hecht Ave NE
31519,1st & O St NW
31520,24th & R St NE / National Arboretum
31521,18th & Monroe St NE
31522,2nd St & Seaton Pl NE
31523,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center
31524,Montello Ave & Holbrook Terr NE
31525,Trinidad Rec Center
31526,Rhode Island & Montana Ave NE
31527,North Capitol & R St NE
31528,John McCormack Rd NE
31529,Edgewood Rec Center
31530,Capitol Ave & Kendall St NE
31531,MBT & Bryant St NE
31532,4th & Florida Ave NE
31600,5th & K St NW
31601,19th & East Capitol St SE
31602,Park Rd & Holmead Pl NW
31603,1st & M St NE
31604,3rd & H St NW
31605,3rd & D St SE
31606,Potomac & Pennsylvania Ave SE
31607,13th & E St SE
31608,8th & Eye St SE / Barracks Row
31609,Maine Ave & 7th St SW
31610,Eastern Market / 7th & North Carolina Ave SE
31611,13th & H St NE
31612,D St & Maryland Ave NE
31613,Eastern Market Metro / Pennsylvania Ave & 8th St SE
31614,11th & H St NE
31615,6th & H St NE
31616,3rd & H St NE
31617,Bladensburg Rd & Benning Rd NE
31618,4th & East Capitol St NE
31619,Lincoln Park / 13th & East Capitol St NE 
31620,5th & F St NW
31621,4th & D St NW / Judiciary Square
31622,13th & D St NE
31623,Columbus Circle / Union Station
31624,North Capitol St & F St NW
31625,3rd & G St SE
31626,15th St & Massachusetts Ave SE
31627,3rd & M St NE
31628,1st & K St SE
31629,8th & East Capitol St NE
31630,15th & East Capitol St NE
31631,8th & F St NE
31632,15th & F St NE
31633,Independence Ave & L'Enfant Plaza SW/DOE
31634,3rd & Tingey St SE
31635,Potomac Ave & 8th St SE
31636,New Jersey Ave & N St NW/Dunbar HS
31637,North Capitol St & G Pl NE
31638,1st & H St NW
31639,2nd & G St NE
31640,Maryland Ave & E St NE
31641,2nd St & Massachusetts Ave NE
31642,4th St & K St NW
31643,1st & D St SE
31644,12th St & Pennsylvania Ave SE
31645,6th & K St NE
31646,Maine Ave & 9th St SW
31647,7th St & Massachusetts Ave NE
31648,Potomac Ave & Half St SW
31649,14th & Newton St NW
31650,1st & M St SE
31651,11th & Park Rd NW
31652,4th & M St SE
31653,7th & K St NW
31654,King Greenleaf Rec Center
31655,New Jersey Ave & F St NW
31656,Maryland Ave & 17th St NE
31657,Massachusetts Ave & 6th St NE
31658,Rosedale Rec Center
31659,11th & C St SE
31660,8th & K St NE
31661,8th & H St NE
31662,1st & K St NE
31663,14th & D St SE
31664,Half & Water St SW
31665,Stadium Armory Metro
31666,4th St & G St SW
31667,2nd & V St SW / James Creek Marina
31668,1st St & Potomac Ave SE
31669,3rd & M st SE
31671,53rd & D St SE/C.W. Harris Elementary
31672,10th & H St NE
31700,Good Hope & Naylor Rd SE
31701,Branch & Pennsylvania Ave SE
31702,Randle Circle & Minnesota Ave SE
31703,Minnesota Ave Metro/DOES
31704,Nannie Helen Burroughs & Minnesota Ave NE
31705,Benning Branch Library
31706,Fairfax Village
31707,Benning Rd & East Capitol St NE / Benning Rd Metro
31708,Anacostia Ave & Benning Rd NE / River Terrace 
31709,34th St & Minnesota Ave SE
31710,Nannie Helen Burroughs Ave & 49th St NE
31711,Deanwood Rec Center
31712,Oklahoma Ave & D St NE
31713,Division Ave & Foote St NE
31714,61st St & Banks Pl NE
31715,37th & Ely Pl SE
31716,Kingman Island/The Fields at RFK
31717,Kenilworth Terrace & Hayes St. NE
31718,Ridge Rd Community Center
31719,Oklahoma Ave & Benning Rd NE
31720,Anacostia Roller Skating Pavillion
31800,Alabama & MLK Ave SE
31801,Anacostia Metro
31802,Good Hope Rd & MLK Ave SE
31803,Good Hope Rd & 14th St SE
31804,Anacostia Library
31805,Pennsylvania & Minnesota Ave SE
31806,Congress Heights Metro
31807,Pleasant St & MLK Ave SE
31811,South Capitol & Atlantic St SW
31812,16th & Q St SE / Anacostia HS
31813,Alabama Ave & Stanton Rd SE / Shops at Park Village
31814,Mississippi Ave & 19th St SE / THEARC
31815,19th & Savannah St SE
31816,4th St & Mississippi Ave SE
31817,1st & S Capitol St SE / Oxon Run Trail
31818,Livingston Rd & 3rd St SE
31819,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr
31820,Anacostia Park
31822,Stanton Square SE
31823,United Medical Center
31824,Valley Ave & Wheeler Rd SE
31825,Fort Stanton Rec Center
31826,Minnesota Ave & R St SE
31827,St. Elizabeths West Campus/DHS 
31900,Langston Blvd & N Woodstock St
31901,Washington Blvd & N Frederick St
31902,Wilson Blvd & N Illinois St 
31903,Royal St & Wilkes St
31904,East Falls Church Metro / Sycamore St & 19th St N
31905,Kennebec St & 11th St N
31906,Commonwealth Ave & Oak St
31907,Franklin St & S Washington St
31908,Radford St & Osage St
31909,Mount Vernon Ave & Four Mile Run Park
31910,Potomac Ave & Main Line Blvd
31912,Mount Vernon Ave & Bruce St
31913,Commonwealth Ave & E Monroe Ave
31914,Lee Center
31915,Powhatan St & Bashford Ln
31916,Potomac Ave & Swann Ave
31917,N Lynn St & Fairfax Dr
31918,Madison St & Fairfax St
31919,Carlin Springs Rd & N Thomas St
31920,Washington-Liberty High School / N Stafford St & Generals Way
31921,Westover Library / Washington Blvd & N McKinley Rd
31923,Columbia Pike & George Mason Dr
31924,Wilson Blvd & N Troy St
31925,Crystal Dr & Potomac Ave
31926,Wilson Blvd. & N. Vermont St.
31927,Wheeler Ave & S. Floyd St.
31928,N. Beauregard St. & Berkley St.
31929,Mt Vernon Trail & S. Washington St.
31930,Eisenhower Ave & Ike Dr
31931,N Pitt St & Montgomery St
31933,Duke St & Strand (Robinson Terminal)
31935,National Airport
31936,Fern St & Army Navy Dr
31937,Arlington Blvd & Ft Myer Dr
31938,23rd St S & Hayes St
31939,Wilson Blvd & N Oak St
31940,Arlington Blvd & Fairfax Dr
31941,N Hampton Dr & Ford Ave
31942,Whiting & Lane Dr
31943,N Howard St & Taney Ave
31944,S Clark St & 33rd St
31945,Columbia Pike & S Greenbrier St
31946,Kenmore Ave & Seminary Rd
31947,Rosslyn Metro / Wilson Blvd & N Moore St
31948,W&OD Trail & Langston Blvd
31949,Columbia Pike & S Scott St/12th St S
31950,Long Bridge Aquatic Center
31951,8th Rd & S Frederick St
31952,N Howard St & N Imboden St
31953,S Pickett St & Shillings St
31954,S Jordan St & Venable St
31955,King St & Peyton St
32000,Norfolk Ave & Fairmont St
32001,Fenton St & New York Ave 
32002,Bethesda Ave & Arlington Rd
32003,Montgomery Ave & Waverly St 
32004,Fallsgrove Blvd & Fallsgrove Dr
32005,Traville Gateway Dr & Gudelsky Dr
32006,13th St & Eastern Ave
32007,E Montgomery Ave & Maryland Ave
32008,Cordell & Norfolk Ave
32009,Frederick Ave & Horners Ln
32010,Philadelphia & Maple Ave
32011,Maple & Ritchie Ave
32012,Silver Spring Metro / Colesville Rd & Wayne Ave
32013,Montgomery & East Ln
32014,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir
32015,Crabbs Branch Way & Redland Rd
32016,Fallsgrove Dr & W Montgomery Ave
32017,Monroe St & Monroe Pl
32018,Needwood Rd & Eagles Head Ct
32019,East West Hwy & Blair Mill Rd
32020,Crabbs Branch Way & Calhoun Pl
32021,47th & Elm St
32022,Dennis Ave & Amherst Ave
32023,Montgomery College / W Campus Dr & Mannakee St
32024,Fenton St & Gist Ave
32025,Carroll & Westmoreland Ave
32026,Carroll & Ethan Allen Ave
32027,Battery Ln & Trolley Trail
32028,Norfolk & Rugby Ave
32029,Offutt Ln & Chevy Chase Dr
32030,Broschart & Blackwell Rd
32031,Taft St & E Gude Dr
32032,Fleet St & Ritchie Pkwy
32033,Piccard & W Gude Dr
32034,Silver Spring Transit Center - Top Level
32035,Georgia Ave & Spring St
32036,Fenton St & Ellsworth Dr 
32037,King Farm Blvd & Pleasant Dr
32038,King Farm Blvd & Piccard Dr
32039,Old Georgetown Rd & Southwick St
32040,Friendship Blvd & Willard Ave
32041,Medical Center Dr & Key West Ave
32042,Shady Grove Hospital
32043,Veterans Pl & Pershing Dr 
32044,Rockville Metro East
32045,Shady Grove Metro West
32046,River Rd & Landy Ln
32047,Rockville Metro West
32048,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd
32049,WAU / Flower Ave & Division St
32050,Spring St & 2nd Ave
32051,Connecticut Ave & Chevy Chase Lake Dr
32052,Key West Ave & Siesta Key Way
32053,Medical Center Metro 
32054,Lyttonsville Rd & Lyttonsville Pl
32055,Woodmont Ave & Strathmore St
32056,East West Hwy & 16th St
32057,Pooks Hill Rd & Linden Ave
32058,Sligo Ave & Carroll Ln
32059,Takoma Park Rec Center
32061,New Hampshire & Kirklynn Ave
32062,Wheaton Metro / Georgia Ave & Reedie Dr
32063,Amherst Ave & Elkins St
32064,Amherst Ave & Prichard Rd
32065,Grandview & Blueridge Ave
32066,Windham Ln & Amherst Ave
32067,Shady Grove Metro East
32068,Columbus Ave & Tribeca St
32069,Columbus Ave & Gramercy Blvd
32070,Key West Ave & Great Seneca Hwy
32071,Corporate Blvd & Omega Dr
32072,Key West Ave & Diamondback Dr
32073,Blueridge Ave & Elkin St
32074,Twinbrook Metro
32075,White Flint Metro
32076,Citadel Ave & McGrath Blvd
32077,Rockville Pike & Old Georgetown Rd
32078,Woodglen Dr & Executive Blvd
32079,Executive Blvd & E Jefferson St
32080,Fishers Ln & Rock Creek Mill Rd
32081,Congressional Ln & E Jefferson St
32082,Garland Ave & Walden Rd
32083,Rockville Pike & Meeting St
32084,Wheaton Library & Community Rec Center
32085,The Shoppes @ Burnt Mills
32086,Briggs Chaney & Castle Dr
32087,White Oak Rec Center
32088,Briggs Chaney Park & Ride
32089,New Hampshire & Lockwood
32090,Stewart & April
32091,Stewart Ln & Old Columbia Pike
32092,Castle Blvd & Castle Ln
32093,White Oak Transit Center
32094,Oak Leaf & Lockwood
32200,Spring Hill Metro
32201,Westpark Dr & Leesburg Pike
32202,Solutions & Greensboro Dr
32203,Tysons One Pl & Chain Bridge Rd
32204,Tysons Corner Station
32205,Westpark & Jones Branch Dr
32206,Jones Branch & Westbranch Dr
32207,Westpark & Park Run Dr
32208,Tysons West Transit Center
32209,North Shore & Cameron Crescent Dr/Crescent Apartments
32210,Town Center Pkwy & Bowman Towne Dr
32211,Reston Regional Library
32212,New Dominion Pkwy & Fountain Dr
32213,Sunset Hills & Old Reston Ave
32214,Reston Town Center Transit Station
32215,Wiehle Ave & Reston Station Blvd
32216,Library St & Freedom Dr
32217,Sunset Hills Rd & Discovery Square
32218,Temporary Rd & Old Reston Ave
32219,Reston YMCA
32220,Sunset Hills Rd & Isaac Newton Square
32221,Greensboro & International Dr
32222,Towers Crescent Dr & Tysons One Pl
32223,North Shore Dr & Village Rd
32224,Town Center Pkwy & Sunset Hills Rd
32225,Reston Pkwy & Spectrum Dr
32227,Greensboro & Pinnacle Dr
32228,Campus Commons
32229,Park Run & Onyx Dr
32230,McLean Metro
32231,Dunn Loring Metro
32232,West Falls Church Metro
32233,Jones Branch Drive & Scotts Crossing Rd
32234,Merrilee Dr & Lauren Elizabeth Lane
32235,Merrifield Cinema & Merrifield Town Center
32236,Vy Reston Heights
32237,Baron Cameron Ave & North Hampton Ave
32238,Ridge Heights Rd & Seahawks Dr
32239,Becontree Ln & Goldenrain Ct
32240,Ring Rd & North Shore Dr
32241,Reston Pkwy & Bennington Woods Rd
32242,Inlet Ct & Wiehle Dr
32243,Fairway Dr & Hook Rd
32244,Vantage Hill Rd & Wainwright Dr
32245,Links Dr & Wedge Dr
32246,Golf Course Sq and Golf Course Dr
32247,South Lakes Dr and Reston Pkwy
32248,Olde Crafts Dr and Cartwright Pl
32249,Green Range Dr and Glade Dr
32250,South Gate Community Center
32251,Lake Newport Rd and Autumn Ridge Cir
32252,Ridge Heights and Owl Cove Ln
32253,Soapstone Dr Convenience Center
32255,Hartland Rd & Harte Pl
32256,North Village and Park Garden
32400,1301 McCormick Dr / Wayne K. Curry Admin Bldg
32401,Largo Town Center Metro
32402,Baltimore Ave & Van Buren St / Riverdale Park Station
32403,Baltimore Ave & Jefferson St
32404,Perry & 35th St
32405,Largo Rd & Campus Way / Prince Georges's Comm Col
32406,Fleet St & Waterfront St
32407,Oxon Hill Park & Ride
32408,Oglethorpe St & 42nd Ave
32409,Southern Ave Metro
32410,Queens Chapel & Hamilton St
32411,Northwestern High School
32412,New Hampshire Ave & East-West Hwy
32413,Rhode Island Ave & 39th St / Brentwood Arts Exchange
32414,Riggs Rd & East West Hwy
32415,Tanger Outlets
32416,Chillum Rd & Riggs Rd / Riggs Plaza
32417,Hyattsville Library / Adelphi Rd & Toledo Rd
32418,West Hyattsville Metro
32419,Capitol Heights Metro
32420,Prince George's Plaza Metro
32421,Riverdale Park Town Center
32422,The Mall at Prince Georges
32423,National Harbor Carousel
32424,Roosevelt Center & Crescent Rd
32425,Crescent Rd & Ridge Rd
32426,Greenbelt Station Parkway
32600,Meridian High School / Haycock Rd & Leesburg Pike
32601,State Theatre / Park Pl & N Washington St
32602,N Oak St & W Broad St
32603,Pennsylvania Ave & Park Ave
32604,E Fairfax St & S Washington St
32605,W Broad St & Little Falls St
32606,N Roosevelt St & Roosevelt Blvd
32607,S Maple Ave & S Washington St
32608,Falls Church City Hall / Park Ave & Little Falls St
32609,W Columbia St & N Washington St
32900,Motivate BX Tech office
32901,6035 Warehouse
32902,Motivate Tech Office
